,Player,Team,POS,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,4S,6S,Year
4,Shubman Gill,GT,5,16,16,2,483,96,34.50,365,132.32,0,4,51,11,2022
5,David Miller,GT,6,16,16,9,481,94*,68.71,337,142.72,0,2,32,23,2022
6,Faf Du Plessis,RCB,7,16,16,1,468,96,31.20,367,127.52,0,3,49,13,2022
7,Shikhar Dhawan,PBKS,8,14,14,2,460,88*,38.33,375,122.66,0,3,47,12,2022
8,Sanju Samson,RR,9,17,17,1,458,55,28.63,312,146.79,0,2,43,26,2022
9,Deepak Hooda,LSG,10,15,14,0,451,59,32.21,330,136.66,0,4,36,18,2022
10,Liam Livingstone,PBKS,11,14,14,2,437,70,36.42,240,182.08,0,4,29,34,2022
11,David Warner,DC,12,12,12,3,432,92*,48.00,287,150.52,0,5,52,15,2022
12,Abhishek Sharma,SRH,13,14,14,0,426,75,30.43,320,133.12,0,2,47,13,2022
13,Ishan Kishan,MI,14,14,14,1,418,81*,32.15,348,120.11,0,3,45,11,2022
14,Rahul Tripathi,SRH,15,14,14,3,413,76,37.55,261,158.23,0,3,40,20,2022
15,Shreyas Iyer,KKR,16,14,14,1,401,85,30.85,298,134.56,0,3,41,11,2022
16,Tilak Varma,MI,17,14,14,3,397,61,36.09,303,131.02,0,2,29,16,2022
17,Aiden Markram,SRH,18,14,12,4,381,68*,47.63,274,139.05,0,3,25,19,2022
18,Devdutt Padikkal,RR,19,17,17,0,376,54,22.12,306,122.87,0,1,40,14,2022
19,Ruturaj  Gaikwad,CSK,20,14,14,0,368,99,26.29,291,126.46,0,3,33,14,2022
20,Nitish Rana,KKR,21,14,14,1,361,57,27.77,251,143.82,0,2,29,22,2022
21,Virat Kohli,RCB,22,16,16,1,341,73,22.73,294,115.98,0,2,32,8,2022
22,Rishabh Pant,DC,23,14,13,2,340,44,30.91,224,151.78,0,0,35,16,2022
23,Andre Russell,KKR,24,14,12,3,335,70*,37.22,192,174.47,0,1,18,32,2022
24,Rajat Patidar,RCB,25,8,7,1,333,112*,55.50,218,152.75,1,2,27,18,2022
25,Dinesh Karthik,RCB,26,16,16,10,330,66*,55.00,180,183.33,0,1,27,22,2022
26,Wriddhiman Saha,GT,27,11,11,1,317,68,31.70,259,122.39,0,3,40,7,2022
27,Shimron Hetmyer,RR,28,15,15,8,314,59*,44.86,204,153.92,0,1,21,21,2022
28,Nicholas Pooran,SRH,29,14,13,5,306,64*,38.25,212,144.33,0,2,16,21,2022
29,Suryakumar Yadav,MI,30,8,8,1,303,68*,43.29,208,145.67,0,3,23,16,2022
30,Glenn Maxwell,RCB,31,13,13,2,301,55,27.36,178,169.1,0,1,31,15,2022
31,Shivam Dube,CSK,32,11,11,1,289,95*,28.90,185,156.21,0,2,22,16,2022
32,Prithvi Shaw,DC,33,10,10,0,283,61,28.30,185,152.97,0,2,37,10,2022
33,Ambati Rayudu,CSK,34,13,11,0,274,78,24.91,224,122.32,0,1,25,15,2022
34,Rohit Sharma,MI,35,14,14,0,268,48,19.14,223,120.17,0,0,28,13,2022
35,Yashasvi Jaiswal,RR,36,10,10,0,258,68,25.80,194,132.98,0,2,28,10,2022
36,Jonny Bairstow,PBKS,37,11,11,0,253,66,23.00,175,144.57,0,2,34,9,2022
37,Devon Conway,CSK,38,7,7,1,252,87,42.00,173,145.66,0,3,22,12,2022
38,Mitchell Marsh,DC,39,8,8,0,251,89,31.38,189,132.8,0,2,19,14,2022
39,Rovman Powell,DC,40,14,12,2,250,67*,25.00,167,149.7,0,1,10,22,2022
40,Moeen Ali,CSK,41,10,10,0,244,93,24.40,177,137.85,0,1,24,11,2022
41,Jitesh Sharma,PBKS,42,12,10,2,234,44,29.25,143,163.63,0,0,22,12,2022
42,MS Dhoni,CSK,43,14,13,6,232,50*,33.14,188,123.4,0,1,21,10,2022
43,Robin Uthappa,CSK,44,12,11,0,230,88,20.91,171,134.5,0,2,19,14,2022
44,Shahbaz Ahmed,RCB,45,16,11,3,219,45,27.38,181,120.99,0,0,14,9,2022
45,Rahul Tewatia,GT,46,16,12,5,217,43*,31.00,147,147.61,0,0,22,9,2022
46,Kane Williamson,SRH,47,13,13,2,216,57,19.64,231,93.5,0,1,16,8,2022
47,Bhanuka Rajapaksa,PBKS,48,9,9,0,206,43,22.89,129,159.68,0,0,16,13,2022
48,Mayank Agarwal,PBKS,49,13,12,0,196,52,16.33,160,122.5,0,1,23,6,2022
49,Ravichandran Ashwin,RR,50,17,12,5,191,50,27.29,135,141.48,0,1,14,9,2022
50,Tim David,MI,51,8,8,3,186,46,37.20,86,216.27,0,0,12,16,2022
51,Riyan Parag,RR,52,17,14,3,183,56*,16.64,132,138.63,0,1,11,10,2022
52,Krunal Pandya,LSG,53,14,13,4,183,42,20.33,145,126.2,0,0,16,4,2022
53,Axar Patel,DC,54,13,10,6,182,42*,45.50,120,151.66,0,0,12,10,2022
54,Venkatesh Iyer,KKR,55,12,12,1,182,50*,16.55,169,107.69,0,1,17,7,2022
55,Rinku Singh,KKR,56,7,7,2,174,42*,34.80,117,148.71,0,0,17,7,2022
56,Sam Billings,KKR,57,8,8,1,169,36,24.14,138,122.46,0,0,9,10,2022
57,Dewald Brevis,MI,58,7,7,0,161,49,23.00,113,142.47,0,0,14,11,2022
58,Ayush Badoni,LSG,59,13,11,3,161,54,20.13,130,123.84,0,1,11,7,2022
59,Lalit Yadav,DC,60,12,8,1,161,48*,23.00,146,110.27,0,0,11,7,2022
60,Matthew Wade,GT,61,10,10,0,157,35,15.70,138,113.76,0,0,23,2,2022
61,Marcus Stoinis,LSG,62,11,10,2,156,38*,19.50,106,147.16,0,0,7,13,2022
62,Sai Sudharsan,GT,63,5,5,1,145,65*,36.25,114,127.19,0,1,14,3,2022
63,Kieron Pollard,MI,64,11,11,1,144,25,14.40,134,107.46,0,0,6,9,2022
64,Ajinkya Rahane,KKR,65,7,7,0,133,44,19.00,128,103.9,0,0,14,4,2022
65,Anuj Rawat,RCB,66,8,8,0,129,66,16.13,118,109.32,0,1,10,7,2022
66,Shardul Thakur,DC,67,14,10,2,120,29*,15.00,87,137.93,0,0,7,7,2022
67,Shahrukh Khan,PBKS,68,8,8,1,117,26,16.71,108,108.33,0,0,4,9,2022
68,Ravindra Jadeja,CSK,69,10,10,4,116,26*,19.33,98,118.36,0,0,6,5,2022
69,Abhinav Manohar,GT,70,8,7,1,108,43,18.00,75,144.0,0,0,14,3,2022
70,Washington Sundar,SRH,71,9,7,0,101,40,14.43,69,146.37,0,0,9,3,2022
71,Rashid Khan,GT,72,16,8,4,91,40,22.75,44,206.81,0,0,3,9,2022
72,Sarfaraz Khan,DC,73,6,5,2,91,36*,30.33,67,135.82,0,0,9,2,2022
73,Manish Pandey,LSG,74,6,6,0,88,38,14.67,80,110.0,0,0,9,2,2022
74,Mahipal Lomror,RCB,75,7,5,0,86,42,17.20,57,150.87,0,0,7,4,2022
75,Aaron Finch,KKR,76,5,5,0,86,58,17.20,61,140.98,0,1,10,3,2022
76,Rahul Chahar,PBKS,77,13,8,2,77,25*,12.83,68,113.23,0,0,7,4,2022
77,Evin Lewis,LSG,78,6,5,2,73,55*,24.33,56,130.35,0,1,8,3,2022
78,Sunil Narine,KKR,79,14,10,2,71,22,8.88,40,177.5,0,0,6,6,2022
79,Shashank Singh,SRH,80,10,5,1,69,25*,17.25,47,146.8,0,0,5,4,2022
80,Suyash S Prabhudessai,RCB,81,5,5,0,67,34,13.40,59,113.55,0,0,7,2,2022
81,Pat Cummins,KKR,82,5,5,1,63,56*,15.75,24,262.5,0,1,5,6,2022
82,Jaydev Unadkat,MI,83,5,5,2,59,19*,19.67,37,159.45,0,0,4,3,2022
83,Romario Shepherd,SRH,84,3,3,1,58,26*,29.00,41,141.46,0,0,2,5,2022
84,Jason Holder,LSG,85,12,8,2,58,16,9.67,44,131.81,0,0,2,6,2022
85,Umesh Yadav,KKR,86,12,7,3,55,21,13.75,40,137.5,0,0,4,4,2022
86,Odean Smith,PBKS,87,6,6,3,51,25*,17.00,44,115.9,0,0,1,5,2022
87,Kagiso Rabada,PBKS,88,13,8,3,48,25,9.60,43,111.62,0,0,5,2,2022
88,Kuldeep Yadav,DC,89,14,7,6,48,16*,48.00,52,92.3,0,0,3,2,2022
89,Priyam Garg,SRH,90,2,2,0,46,42,23.00,33,139.39,0,0,4,2,2022
90,Ramandeep Singh,MI,91,5,4,2,45,14*,22.50,40,112.5,0,0,3,1,2022
91,Dwaine Pretorius,CSK,92,6,5,1,44,22,11.00,28,157.14,0,0,3,3,2022
92,Dushmantha Chameera,LSG,93,12,8,4,43,17,10.75,28,153.57,0,0,3,3,2022
93,Harshal Patel,RCB,94,15,8,3,43,11,8.60,39,110.25,0,0,4,2,2022
94,Hrithik Shokeen,MI,95,5,3,1,43,25,21.50,48,89.58,0,0,5,0,2022
95,Trent Boult,RR,96,16,8,6,40,17*,20.00,29,137.93,0,0,2,1,2022
96,Jagadeesan Narayan,CSK,97,2,2,1,40,39*,40.00,37,108.1,0,0,3,1,2022
97,Daniel Sams,MI,98,11,10,3,38,15,5.43,36,105.55,0,0,1,3,2022
98,Wanindu Hasaranga,RCB,99,16,7,0,38,18,5.43,43,88.37,0,0,4,1,2022
99,Rishi Dhawan,PBKS,100,6,4,2,37,21*,18.50,40,92.5,0,0,4,2,2022
100,Daryl Mitchell,RR,101,2,2,0,33,17,16.50,44,75.0,0,0,1,0,2022
101,Sherfane Rutherford,RCB,102,3,2,0,33,28,16.50,50,66.0,0,0,1,1,2022
102,James Neesham,RR,103,2,2,0,31,17,15.50,27,114.81,0,0,3,0,2022
103,Mohammed Siraj,RCB,104,15,5,3,30,14*,15.00,33,90.9,0,0,5,0,2022
104,Tim Seifert,DC,105,2,2,0,24,21,12.00,19,126.31,0,0,4,0,2022
105,Bhuvneshwar Kumar,SRH,106,14,6,3,24,8,8.00,26,92.3,0,0,3,0,2022
106,Mohsin Khan,LSG,107,9,3,2,23,13*,23.00,16,143.75,0,0,2,1,2022
107,Dwayne Bravo,CSK,108,10,6,4,23,12,11.50,24,95.83,0,0,1,1,2022
108,Sheldon Jackson,KKR,109,5,5,1,23,8,5.75,26,88.46,0,0,0,1,2022
109,Avesh Khan,LSG,110,13,4,3,22,12,22.00,13,169.23,0,0,0,3,2022
110,Rassie van der Dussen,RR,111,3,3,1,22,12*,11.00,24,91.66,0,0,2,0,2022
111,Harpreet Brar,PBKS,112,5,3,0,22,14,7.33,25,88.0,0,0,1,2,2022
112,Mitchell Santner,CSK,113,6,4,2,22,11,11.00,27,81.48,0,0,3,0,2022
113,Arshdeep Singh,PBKS,114,14,6,3,21,10*,7.00,29,72.41,0,0,3,0,2022
114,B Indrajith,KKR,115,3,3,0,21,15,7.00,30,70.0,0,0,2,0,2022
115,Manan Vohra,LSG,116,2,1,0,19,19,19.00,11,172.72,0,0,1,2,2022
116,Vijay Shankar,GT,117,4,4,0,19,13,4.75,35,54.28,0,0,1,0,2022
117,Mandeep Singh,DC,118,3,3,0,18,18,6.00,23,78.26,0,0,4,0,2022
118,Josh Hazlewood,RCB,119,12,5,5,18,7*,-,26,69.23,0,0,1,0,2022
119,David Willey,RCB,120,4,2,0,18,18,9.00,30,60.0,0,0,3,0,2022
120,Karun Nair,RR,121,3,2,0,16,13,8.00,18,88.88,0,0,1,0,2022
121,Simran Singh,PBKS,122,1,1,0,14,14,14.00,11,127.27,0,0,2,0,2022
122,Anmolpreet Singh,MI,123,2,2,0,13,8,6.50,13,100.0,0,0,1,0,2022
123,Murugan Ashwin,MI,124,8,5,2,12,6,4.00,14,85.71,0,0,1,1,2022
124,Varun Chakaravarthy,KKR,125,11,4,4,12,10*,-,18,66.66,0,0,2,0,2022
125,Chris Jordan,CSK,126,4,2,1,11,6*,11.00,8,137.5,0,0,0,0,2022
126,Rajangad Bawa,PBKS,127,2,2,0,11,11,5.50,14,78.57,0,0,1,0,2022
127,Shreyas Gopal,SRH,128,1,1,1,9,9*,-,7,128.57,0,0,2,0,2022
128,Marco Jansen,SRH,129,8,3,2,9,8*,9.00,7,128.57,0,0,0,1,2022
129,Obed McCoy,RR,130,7,1,0,8,8,8.00,5,160.0,0,0,0,1,2022
130,Srikar Bharat,DC,131,2,2,0,8,8,4.00,7,114.28,0,0,2,0,2022
131,Fabian Allen,MI,132,1,1,0,8,8,8.00,7,114.28,0,0,1,0,2022
132,Sean Abbott,SRH,133,1,1,0,7,7,7.00,5,140.0,0,0,0,1,2022
133,Rasikh Salam,KKR,134,2,1,0,7,7,7.00,6,116.66,0,0,1,0,2022
134,Kartik Tyagi,SRH,135,2,2,0,7,7,3.50,6,116.66,0,0,1,0,2022
135,Maheesh Theekshana,CSK,136,9,2,1,7,7*,7.00,7,100.0,0,0,0,1,2022
136,Simarjeet Singh,CSK,137,6,3,2,7,3*,7.00,8,87.5,0,0,0,0,2022
137,Ripal Patel,DC,138,2,1,0,6,6,6.00,3,200.0,0,0,0,1,2022
138,Mukesh Choudhary,CSK,139,13,2,1,6,4,6.00,6,100.0,0,0,1,0,2022
139,Prasidh Krishna,RR,140,17,3,2,6,4*,6.00,12,50.0,0,0,0,0,2022
140,Aman Khan,KKR,141,1,1,0,5,5,5.00,3,166.66,0,0,1,0,2022
141,Lockie Ferguson,GT,142,13,3,1,5,5,2.50,4,125.0,0,0,1,0,2022
142,Alzarri Joseph,GT,143,9,3,2,5,4*,5.00,7,71.42,0,0,0,0,2022
143,Yuzvendra Chahal,RR,144,17,2,1,5,5,5.00,8,62.5,0,0,0,0,2022
144,Vaibhav Arora,PBKS,145,5,4,2,5,2*,2.50,13,38.46,0,0,0,0,2022
145,Prerak Mankad,PBKS,146,1,1,1,4,4*,-,1,400.0,0,0,1,0,2022
146,Karan Sharma,LSG,147,1,1,0,4,4,4.00,4,100.0,0,0,1,0,2022
147,Abdul Samad,SRH,148,2,2,0,4,4,2.00,7,57.14,0,0,0,0,2022
148,Abhijeet Tomar,KKR,149,1,1,0,4,4,4.00,8,50.0,0,0,1,0,2022
149,Umran Malik,SRH,150,14,4,3,4,3*,4.00,8,50.0,0,0,0,0,2022
150,Mustafizur Rahman,DC,151,8,1,1,3,3*,-,5,60.0,0,0,0,0,2022
151,Kumar Kartikeya Singh,MI,152,4,1,0,3,3,3.00,5,60.0,0,0,0,0,2022
152,Shivam Mavi,KKR,153,6,3,1,3,2,1.50,7,42.85,0,0,0,0,2022
153,Harshit Rana,KKR,154,2,2,1,2,2,2.00,2,100.0,0,0,0,0,2022
154,Navdeep Saini,RR,155,2,1,0,2,2,2.00,2,100.0,0,0,0,0,2022
155,Tristan Stubbs,MI,156,2,2,0,2,2,1.00,4,50.0,0,0,0,0,2022
156,Pradeep Sangwan,GT,157,3,1,0,2,2,2.00,5,40.0,0,0,0,0,2022
157,Fazalhaq Farooqi,SRH,158,3,1,1,2,2*,-,8,25.0,0,0,0,0,2022
158,Jagadeesha Suchith,SRH,159,5,2,0,2,2,1.00,8,25.0,0,0,0,0,2022
159,Tim Southee,KKR,160,9,5,1,2,1*,0.50,12,16.66,0,0,0,0,2022
160,Nathan Coulter-Nile,RR,161,1,1,1,1,1*,-,2,50.0,0,0,0,0,2022
161,Anrich Nortje,DC,162,6,1,1,1,1*,-,6,16.66,0,0,0,0,2022
0,Shubman Gill,GT,1,17,17,2,890,129,59.33,564,157.8,3,4,85,33,2023
1,Faf Du Plessis,RCB,2,14,14,1,730,84,56.15,475,153.68,0,8,60,36,2023
2,Devon Conway,CSK,3,16,15,2,672,92*,51.69,481,139.7,0,6,77,18,2023
3,Virat Kohli,RCB,4,14,14,2,639,101*,53.25,457,139.82,2,6,65,16,2023
4,Yashasvi Jaiswal,RR,5,14,14,1,625,124,48.08,382,163.61,1,5,82,26,2023
5,Suryakumar Yadav,MI,6,16,16,2,605,103*,43.21,334,181.13,1,5,65,28,2023
6,Ruturaj Gaikwad,CSK,7,16,15,1,590,92,42.14,400,147.5,0,4,46,30,2023
7,David Warner,DC,8,14,14,0,516,86,36.86,392,131.63,0,6,69,10,2023
8,Rinku Singh,KKR,9,14,14,6,474,67*,59.25,317,149.52,0,4,31,29,2023
9,Ishan Kishan,MI,10,15,15,0,454,75,30.27,318,142.76,0,3,54,18,2023
10,Cameron Green,MI,11,16,16,7,452,100*,50.22,282,160.28,1,2,40,22,2023
11,Heinrich Klaasen,SRH,12,12,11,2,448,104,49.78,253,177.07,1,2,32,25,2023
12,Shivam Dube,CSK,13,16,14,3,418,52,38.00,264,158.33,0,3,12,35,2023
13,Nitish Rana,KKR,14,14,14,1,413,75,31.77,293,140.95,0,3,39,20,2023
14,Marcus Stoinis,LSG,15,15,15,2,408,89*,31.38,272,150.0,0,3,28,27,2023
15,Venkatesh Iyer,KKR,16,14,14,0,404,104,28.86,277,145.84,1,2,32,21,2023
16,Glenn Maxwell,RCB,17,14,14,2,400,77,33.33,218,183.48,0,5,29,31,2023
17,Jos Buttler,RR,18,14,14,0,392,95,28.00,282,139.0,0,4,42,14,2023
18,Kyle Mayers,LSG,19,13,13,0,379,73,29.15,263,144.1,0,4,38,22,2023
19,Shikhar Dhawan,PBKS,20,11,11,2,373,99*,41.44,261,142.91,0,3,49,12,2023
20,Wriddhiman Saha,GT,21,17,17,1,371,81,23.19,287,129.26,0,2,47,8,2023
21,Sanju Samson,RR,22,14,14,2,362,66*,30.17,236,153.38,0,3,25,24,2023
22,Sai Sudharsan,GT,23,8,8,1,362,96,51.71,256,141.4,0,3,33,12,2023
23,Nicholas Pooran,LSG,24,15,15,3,358,62,29.83,207,172.94,0,2,26,26,2023
24,Simran Singh,PBKS,25,14,14,0,358,103,25.57,238,150.42,1,1,38,19,2023
25,Hardik Pandya,GT,26,16,15,4,346,66,31.45,253,136.75,0,2,26,15,2023
26,Tilak Varma,MI,27,11,11,3,343,84*,42.88,209,164.11,0,1,26,23,2023
27,Rohit Sharma,MI,28,16,16,0,332,65,20.75,250,132.8,0,2,35,17,2023
28,Ajinkya Rahane,CSK,29,14,11,1,326,71*,32.60,189,172.48,0,2,24,16,2023
29,Jitesh Sharma,PBKS,30,14,14,1,309,49*,23.77,198,156.06,0,0,22,21,2023
30,Vijay Shankar,GT,31,14,10,2,301,63*,37.63,188,160.1,0,3,27,15,2023
31,Shimron Hetmyer,RR,32,14,13,5,300,56*,37.50,197,152.28,0,1,12,23,2023
32,Jason Roy,KKR,33,8,8,0,285,61,35.63,188,151.59,0,2,36,12,2023
33,Axar Patel,DC,34,14,13,3,283,54,28.30,203,139.4,0,1,21,15,2023
34,Liam Livingstone,PBKS,35,9,9,1,279,94,34.88,171,163.15,0,2,20,19,2023
35,Sam Curran,PBKS,36,14,13,3,276,55,27.60,203,135.96,0,1,20,13,2023
36,K L Rahul,LSG,37,9,9,1,274,74,34.25,242,113.22,0,2,28,4,2023
37,Rahul Tripathi,SRH,38,13,13,1,273,74*,22.75,213,128.16,0,1,29,10,2023
38,Mayank Agarwal,SRH,39,10,10,0,270,83,27.00,210,128.57,0,1,29,6,2023
39,Devdutt Padikkal,RR,40,11,11,1,261,52,26.10,200,130.5,0,2,31,6,2023
40,David Miller,GT,41,16,13,5,259,46,32.38,178,145.5,0,0,18,13,2023
41,Aiden Markram,SRH,42,13,13,2,248,50,22.55,197,125.88,0,1,18,8,2023
42,Nehal Wadera,MI,43,14,10,1,241,64,26.78,166,145.18,0,2,23,12,2023
43,Ayush Badoni,LSG,44,15,12,2,238,59*,23.80,172,138.37,0,1,13,12,2023
44,Tim David,MI,45,16,15,6,231,45*,25.67,146,158.21,0,0,12,15,2023
45,Andre Russell,KKR,46,14,14,3,227,42,20.64,156,145.51,0,0,13,18,2023
46,Rahmanullah Gurbaz,KKR,47,11,11,0,227,81,20.64,170,133.52,0,2,17,15,2023
47,Abhishek Sharma,SRH,48,11,11,0,226,67,20.55,157,143.94,0,2,28,6,2023
48,Phil Salt,DC,49,9,9,1,218,87,27.25,133,163.9,0,2,24,10,2023
49,Rilee Rossouw,DC,50,9,9,2,209,82*,29.86,141,148.22,0,1,17,11,2023
50,Ravindra Jadeja,CSK,51,16,12,4,190,25*,23.75,133,142.85,0,0,11,9,2023
51,Harry Brook,SRH,52,11,11,2,190,100*,21.11,154,123.37,1,0,23,4,2023
52,Krunal Pandya,LSG,53,15,14,4,188,49*,18.80,165,113.93,0,0,15,6,2023
53,Atharva Taide,PBKS,54,7,7,0,186,66,26.57,129,144.18,0,2,20,6,2023
54,Abdul Samad,SRH,55,9,8,4,169,37*,42.25,128,132.03,0,0,10,11,2023
55,Manish Pandey,DC,56,10,9,0,160,50,17.78,146,109.58,0,1,15,3,2023
56,Ambati Rayudu,CSK,57,16,12,2,158,27*,15.80,113,139.82,0,0,10,9,2023
57,Shahrukh Khan,PBKS,58,14,13,6,156,41*,22.29,94,165.95,0,0,13,9,2023
58,Dhruv Jurel,RR,59,13,11,4,152,34*,21.71,88,172.72,0,0,11,9,2023
59,Quinton De Kock,LSG,60,4,4,0,143,70,35.75,102,140.19,0,1,10,8,2023
60,Dinesh Karthik,RCB,61,13,13,1,140,30,11.67,104,134.61,0,0,13,5,2023
61,Sikandar Raza,PBKS,62,7,7,2,139,57,27.80,98,141.83,0,1,10,6,2023
62,Mahipal Lomror,RCB,63,12,10,2,135,54*,16.88,97,139.17,0,1,9,8,2023
63,Rashid Khan,GT,64,17,9,5,130,79*,32.50,60,216.66,0,1,8,13,2023
64,Mitchell Marsh,DC,65,9,9,0,128,63,14.22,97,131.95,0,1,11,7,2023
65,Moeen Ali,CSK,66,15,10,3,124,23,17.71,91,136.26,0,0,12,6,2023
66,Matthew Short,PBKS,67,6,6,0,117,36,19.50,92,127.17,0,0,15,4,2023
67,Abhinav Manohar,GT,68,9,6,0,114,42,19.00,83,137.34,0,0,6,7,2023
68,Shardul Thakur,KKR,69,11,10,2,113,68,14.13,70,161.42,0,1,13,4,2023
69,Aman Khan,DC,70,11,9,1,110,51,13.75,101,108.91,0,1,7,6,2023
70,Prithvi Shaw,DC,71,8,8,0,106,54,13.25,85,124.7,0,1,16,1,2023
71,Anmolpreet Singh,SRH,72,4,4,0,105,36,26.25,82,128.04,0,0,15,2,2023
72,MS Dhoni,CSK,73,16,12,8,104,32*,26.00,57,182.45,0,0,3,10,2023
73,Prerak Mankad,LSG,74,5,5,2,93,64*,31.00,72,129.16,0,1,12,2,2023
74,Anuj Rawat,RCB,75,9,7,4,91,29*,30.33,71,128.16,0,0,6,4,2023
75,Jagadeesan Narayan,KKR,76,6,6,0,89,36,14.83,81,109.87,0,0,14,1,2023
76,Rahul Tewatia,GT,77,17,10,6,87,20*,21.75,57,152.63,0,0,3,7,2023
77,Deepak Hooda,LSG,78,12,12,1,84,17,7.64,90,93.33,0,0,3,2,2023
78,Riyan Parag,RR,79,7,7,1,78,20,13.00,66,118.18,0,0,4,5,2023
79,Harpreet Bhatia,PBKS,80,3,3,0,76,41,25.33,59,128.81,0,0,8,3,2023
80,Bhanuka Rajapaksa,PBKS,81,4,4,1,71,50,23.67,62,114.51,0,1,6,2,2023
81,Vivrant Sharma,SRH,82,3,1,0,69,69,69.00,47,146.8,0,1,9,2,2023
82,Ravichandran Ashwin,RR,83,13,10,4,67,30,11.17,51,131.37,0,0,5,3,2023
83,Lalit Yadav,DC,84,6,6,1,66,38,13.20,59,111.86,0,0,8,0,2023
84,Krishnappa Gowtham,LSG,85,7,7,3,61,23,15.25,37,164.86,0,0,2,5,2023
85,Washington Sundar,SRH,86,7,5,1,60,24*,15.00,60,100.0,0,0,6,0,2023
86,Michael Bracewell,RCB,87,5,4,2,58,26,29.00,47,123.4,0,0,6,1,2023
87,Sarfaraz Khan,DC,88,4,4,0,53,30,13.25,62,85.48,0,0,4,1,2023
88,Harpreet Brar,PBKS,89,13,8,2,52,17*,8.67,41,126.82,0,0,5,2,2023
89,Ripal Patel,DC,90,5,4,1,49,23,16.33,43,113.95,0,0,3,1,2023
90,Shahbaz Ahmed,RCB,91,10,6,2,42,20*,10.50,39,107.69,0,0,3,1,2023
91,Bhuvneshwar Kumar,SRH,92,14,6,3,42,27,14.00,47,89.36,0,0,4,0,2023
92,Glenn Phillips,SRH,93,5,5,0,39,25,7.80,22,177.27,0,0,2,4,2023
93,Marco Jansen,SRH,94,8,6,3,39,17*,13.00,43,90.69,0,0,4,0,2023
94,Anrich Nortje,DC,95,10,7,4,37,23*,12.33,29,127.58,0,0,6,0,2023
95,Vishnu Vinod,MI,96,3,3,0,37,30,12.33,31,119.35,0,0,2,2,2023
96,Suyash S Prabhudessai,RCB,97,5,4,0,35,19,8.75,29,120.68,0,0,1,2,2023
97,David Willey,RCB,98,4,3,3,35,20*,-,32,109.37,0,0,4,0,2023
98,Wanindu Hasaranga,RCB,99,8,5,3,33,12*,16.50,28,117.85,0,0,3,0,2023
99,Abishek Porel,DC,100,4,4,0,33,20,8.25,31,106.45,0,0,1,2,2023
100,Kuldeep Yadav,DC,101,14,10,8,31,10*,15.50,48,64.58,0,0,2,0,2023
101,Dasun Shanaka,GT,102,3,3,1,26,17,13.00,26,100.0,0,0,2,1,2023
102,Piyush Chawla,MI,103,16,4,2,25,18,12.50,22,113.63,0,0,1,1,2023
103,Tristan Stubbs,MI,104,2,2,0,25,20,12.50,31,80.64,0,0,2,0,2023
104,Hrithik Shokeen,MI,105,8,3,2,23,18*,23.00,17,135.29,0,0,4,0,2023
105,Anukul Roy,KKR,106,4,4,2,23,13*,11.50,19,121.05,0,0,3,0,2023
106,Adil Rashid,SRH,107,2,2,0,22,18,11.00,16,137.5,0,0,2,1,2023
107,Priyam Garg,DC,108,2,2,0,22,12,11.00,23,95.65,0,0,1,0,2023
108,David Wiese,KKR,109,3,3,2,21,12*,21.00,11,190.9,0,0,0,3,2023
109,Mayank Markande,SRH,110,10,3,3,21,18*,-,13,161.53,0,0,2,1,2023
110,Sunil Narine,KKR,111,14,10,3,21,7*,3.00,25,84.0,0,0,2,1,2023
111,Rishi Dhawan,PBKS,112,6,3,1,20,19,10.00,12,166.66,0,0,1,1,2023
112,Ravi Bishnoi,LSG,113,15,7,4,20,5,6.67,27,74.07,0,0,1,0,2023
113,Umran Malik,SRH,114,8,2,1,19,19*,19.00,8,237.5,0,0,1,2,2023
114,Umesh Yadav,KKR,115,8,5,3,19,6*,9.50,18,105.55,0,0,1,0,2023
115,Amit Mishra,LSG,116,7,1,0,19,19,19.00,30,63.33,0,0,2,0,2023
116,Arshad Khan,MI,117,6,3,1,18,15*,9.00,15,120.0,0,0,0,1,2023
117,Akash Deep,RCB,118,2,1,0,17,17,17.00,8,212.5,0,0,2,1,2023
118,Akeal Hosein,SRH,119,1,1,1,16,16*,-,10,160.0,0,0,1,1,2023
119,Trent Boult,RR,120,10,4,3,16,15,16.00,14,114.28,0,0,1,1,2023
120,Praveen Dubey,DC,121,1,1,0,16,16,16.00,20,80.0,0,0,2,0,2023
121,Naveen-Ul-Haq,LSG,122,8,3,2,16,13,16.00,21,76.19,0,0,2,0,2023
122,Yash Dhull,DC,123,4,3,0,16,13,5.33,23,69.56,0,0,1,0,2023
123,Ben Stokes,CSK,124,2,2,0,15,8,7.50,14,107.14,0,0,2,0,2023
124,Mandeep Singh,KKR,125,3,3,0,14,12,4.67,16,87.5,0,0,0,1,2023
125,Arjun Tendulkar,MI,126,4,1,0,13,13,13.00,9,144.44,0,0,0,1,2023
126,Vyshak Vijaykumar,RCB,127,7,2,1,13,13*,13.00,9,144.44,0,0,0,1,2023
127,Kedar Jadhav,RCB,128,2,1,1,12,12*,-,10,120.0,0,0,1,0,2023
128,Jason Holder,RR,129,8,3,1,12,11,6.00,11,109.09,0,0,0,1,2023
129,Karan Sharma,LSG,130,2,2,0,12,9,6.00,21,57.14,0,0,0,0,2023
