,Player,Team,POS,MAT,INNS,OV,Runs Conceded,WKTS,BBI,AVG WKT,ECON,SR,4W,5W,Year
99,Fabian Allen,MI,100,1,1,4.0,46,1,46/1,46.0,11.5,24.0,0,0,2022
100,Sean Abbott,SRH,101,1,1,4.0,47,1,47/1,47.0,11.75,24.0,0,0,2022
101,Riyan Parag,RR,102,17,4,4.0,59,1,12/1,59.0,14.75,24.0,0,0,2022
102,Dewald Brevis,MI,103,7,1,0.3,8,1,8/1,8.0,16.0,3.0,0,0,2022
0,Mohammad Shami,GT,1,17,17,65.0,522,28,11/4,18.64,8.03,13.92,2,0,2023
1,Mohit Sharma,GT,2,14,14,44.1,361,27,10/5,13.37,8.17,9.81,2,1,2023
2,Rashid Khan,GT,3,17,17,67.0,552,27,30/4,20.44,8.23,14.88,1,0,2023
3,Piyush Chawla,MI,4,16,16,61.0,495,22,22/3,22.5,8.11,16.63,0,0,2023
4,Yuzvendra Chahal,RR,5,14,14,52.5,432,21,17/4,20.57,8.17,15.09,3,0,2023
5,Tushar Deshpande,CSK,6,16,16,56.5,564,21,45/3,26.85,9.92,16.23,0,0,2023
6,Ravindra Jadeja,CSK,7,16,16,57.0,431,20,20/3,21.55,7.56,17.1,0,0,2023
7,Varun Chakaravarthy,KKR,8,14,14,52.4,429,20,15/4,21.45,8.14,15.8,1,0,2023
8,Mohammed Siraj,RCB,9,14,14,50.0,376,19,21/4,19.78,7.52,15.78,1,0,2023
9,Matheesha Pathirana,CSK,10,12,12,46.2,371,19,15/3,19.52,8.0,14.63,0,0,2023
10,Arshdeep Singh,PBKS,11,14,14,50.5,493,17,29/4,29.0,9.69,17.94,1,0,2023
11,Ravi Bishnoi,LSG,12,15,14,50.3,391,16,28/3,24.43,7.74,18.93,0,0,2023
12,Noor Ahmad,GT,13,13,13,47.1,369,16,37/3,23.06,7.82,17.68,0,0,2023
13,Bhuvneshwar Kumar,SRH,14,14,14,51.0,425,16,30/5,26.56,8.33,19.12,0,1,2023
14,Ravichandran Ashwin,RR,15,13,13,49.0,368,14,23/2,26.28,7.51,21.0,0,0,2023
15,Akash Madhwal,MI,16,8,8,25.3,219,14,5/5,15.64,8.58,10.92,1,1,2023
16,Jason Behrendorff,MI,17,12,12,42.0,387,14,23/3,27.64,9.21,18.0,0,0,2023
17,Harshal Patel,RCB,18,13,13,47.0,454,14,32/3,32.42,9.65,20.14,0,0,2023
18,Trent Boult,RR,19,10,10,38.0,312,13,29/3,24.0,8.21,17.53,0,0,2023
19,Deepak Chahar,CSK,20,10,10,34.0,297,13,22/3,22.84,8.73,15.69,0,0,2023
20,Nathan Ellis,PBKS,21,10,10,38.0,339,13,30/4,26.07,8.92,17.53,1,0,2023
21,Yash Thakur,LSG,22,9,9,31.5,289,13,37/4,22.23,9.07,14.69,1,0,2023
22,Mayank Markande,SRH,23,10,10,38.0,300,12,15/4,25.0,7.89,19.0,1,0,2023
23,Mitchell Marsh,DC,24,9,8,20.1,170,12,27/4,14.16,8.42,10.08,1,0,2023
24,Axar Patel,DC,25,14,13,47.0,338,11,13/2,30.72,7.19,25.63,0,0,2023
25,Naveen-Ul-Haq,LSG,26,8,7,28.0,219,11,38/4,19.9,7.82,15.27,1,0,2023
26,Sunil Narine,KKR,27,14,14,48.0,383,11,33/3,34.81,7.97,26.18,0,0,2023
27,Maheesh Theekshana,CSK,28,13,13,49.0,392,11,23/2,35.63,8.0,26.72,0,0,2023
28,Mark Wood,LSG,29,4,4,16.0,130,11,14/5,11.81,8.12,8.72,0,1,2023
29,Kuldeep Yadav,DC,30,14,14,49.0,361,10,15/2,36.1,7.36,29.4,0,0,2023
30,Suyash Sharma,KKR,31,11,11,39.0,321,10,30/3,32.1,8.23,23.4,0,0,2023
31,Ishant Sharma,DC,32,8,8,25.0,206,10,19/2,20.6,8.24,15.0,0,0,2023
32,Sandeep Sharma,RR,33,12,12,46.0,396,10,25/2,39.6,8.6,27.6,0,0,2023
33,Anrich Nortje,DC,34,10,10,40.0,364,10,20/2,36.4,9.1,24.0,0,0,2023
34,T Natarajan,SRH,35,12,12,45.0,410,10,23/2,41.0,9.11,27.0,0,0,2023
35,Marco Jansen,SRH,36,8,8,27.0,267,10,16/2,26.7,9.88,16.2,0,0,2023
36,Sam Curran,PBKS,37,14,14,47.5,489,10,31/3,48.9,10.22,28.7,0,0,2023
37,Karn Sharma,RCB,38,7,7,21.3,223,10,19/2,22.3,10.37,12.9,0,0,2023
38,Krunal Pandya,LSG,39,15,12,42.0,313,9,18/3,34.77,7.45,28.0,0,0,2023
39,Moeen Ali,CSK,40,15,11,26.0,195,9,26/4,21.66,7.5,17.33,1,0,2023
40,Harpreet Brar,PBKS,41,13,11,27.1,218,9,30/4,24.22,8.02,18.11,1,0,2023
41,Wanindu Hasaranga,RCB,42,8,8,29.0,258,9,24/2,28.66,8.89,19.33,0,0,2023
42,Khaleel Ahmed,DC,43,9,9,33.0,301,9,24/2,33.44,9.12,22.0,0,0,2023
43,Wayne Parnell,RCB,44,7,7,25.1,236,9,10/3,26.22,9.37,16.77,0,0,2023
44,Vyshak Vijaykumar,RCB,45,7,7,24.0,253,9,20/3,28.11,10.54,16.0,0,0,2023
45,Rahul Chahar,PBKS,46,14,14,49.4,385,8,16/2,48.12,7.75,37.25,0,0,2023
46,Adam Zampa,RR,47,6,6,22.0,188,8,22/3,23.5,8.54,16.5,0,0,2023
47,Avesh Khan,LSG,48,9,9,29.0,283,8,25/3,35.37,9.75,21.75,0,0,2023
48,Amit Mishra,LSG,49,7,7,19.0,149,7,21/2,21.28,7.84,16.28,0,0,2023
49,Josh Little,GT,50,10,10,34.0,294,7,25/2,42.0,8.64,29.14,0,0,2023
50,Alzarri Joseph,GT,51,7,7,24.0,225,7,27/2,32.14,9.37,20.57,0,0,2023
51,Kagiso Rabada,PBKS,52,6,6,23.0,232,7,34/2,33.14,10.08,19.71,0,0,2023
52,Shardul Thakur,KKR,53,11,9,21.0,220,7,23/2,31.42,10.47,18.0,0,0,2023
53,Mukesh Kumar,DC,54,10,10,31.0,326,7,30/2,46.57,10.51,26.57,0,0,2023
54,Riley Meredith,MI,55,5,5,19.4,207,7,33/2,29.57,10.52,16.85,0,0,2023
55,Andre Russell,KKR,56,14,9,15.1,172,7,22/3,24.57,11.34,13.0,0,0,2023
56,Michael Bracewell,RCB,57,5,5,11.0,95,6,13/2,15.83,8.63,11.0,0,0,2023
57,Cameron Green,MI,58,16,16,38.0,361,6,41/2,60.16,9.5,38.0,0,0,2023
58,Harshit Rana,KKR,59,6,6,17.0,147,5,33/2,29.4,8.64,20.4,0,0,2023
59,Kumar Kartikeya Singh,MI,60,8,8,26.0,227,5,37/2,45.4,8.73,31.2,0,0,2023
60,Vaibhav Arora,KKR,61,5,5,16.0,146,5,30/2,29.2,9.12,19.2,0,0,2023
61,Marcus Stoinis,LSG,62,15,5,10.5,100,5,20/2,20.0,9.23,13.0,0,0,2023
62,Akash Singh,CSK,63,6,6,19.0,188,5,40/2,37.6,9.89,22.8,0,0,2023
63,Umran Malik,SRH,64,8,8,20.0,217,5,32/2,43.4,10.85,24.0,0,0,2023
64,Arshad Khan,MI,65,6,6,14.1,190,5,39/3,38.0,13.41,17.0,0,0,2023
65,Fazalhaq Farooqi,SRH,66,4,4,13.2,117,4,41/2,29.25,8.77,20.0,0,0,2023
66,Jason Holder,RR,67,8,8,28.3,284,4,29/2,71.0,9.96,42.75,0,0,2023
67,Mitchell Santner,CSK,68,3,3,12.0,81,3,28/2,27.0,6.75,24.0,0,0,2023
68,David Willey,RCB,69,4,4,15.0,105,3,16/2,35.0,7.0,30.0,0,0,2023
69,Krishnappa Gowtham,LSG,70,7,6,16.0,118,3,10/1,39.33,7.37,32.0,0,0,2023
70,Anukul Roy,KKR,71,4,3,8.0,65,3,19/2,21.66,8.12,16.0,0,0,2023
71,Washington Sundar,SRH,72,7,7,17.4,146,3,28/3,48.66,8.26,35.33,0,0,2023
72,Josh Hazlewood,RCB,73,3,3,9.0,76,3,15/2,25.33,8.44,18.0,0,0,2023
73,Nitish Rana,KKR,74,14,6,8.5,75,3,17/2,25.0,8.49,17.66,0,0,2023
74,Yudhvir Singh,LSG,75,3,3,8.0,70,3,19/2,23.33,8.75,16.0,0,0,2023
75,Glenn Maxwell,RCB,76,14,7,10.2,94,3,3/1,31.33,9.09,20.66,0,0,2023
76,Hardik Pandya,GT,77,16,11,25.0,228,3,10/1,76.0,9.12,50.0,0,0,2023
77,Arjun Tendulkar,MI,78,4,4,9.5,92,3,9/1,30.66,9.35,19.66,0,0,2023
78,Hrithik Shokeen,MI,79,8,8,19.0,187,3,34/2,62.33,9.84,38.0,0,0,2023
79,Asif K M,RR,80,4,4,14.0,138,3,42/2,46.0,9.85,28.0,0,0,2023
80,Sikandar Raza,PBKS,81,7,6,12.0,119,3,19/1,39.66,9.91,24.0,0,0,2023
81,Rajvardhan Hangargekar,CSK,82,2,2,6.0,60,3,36/3,20.0,10.0,12.0,0,0,2023
82,Mohsin Khan,LSG,83,5,4,10.0,107,3,24/1,35.66,10.7,20.0,0,0,2023
83,Chris Jordan,MI,84,6,6,22.0,237,3,7/1,79.0,10.77,44.0,0,0,2023
84,Chetan Sakariya,DC,85,2,2,8.0,89,3,53/2,29.66,11.12,16.0,0,0,2023
85,Navdeep Saini,RR,86,2,2,6.0,74,3,40/3,24.66,12.33,12.0,0,0,2023
86,Adil Rashid,SRH,87,2,2,7.0,56,2,23/2,28.0,8.0,21.0,0,0,2023
87,Lalit Yadav,DC,88,6,4,13.0,118,2,29/1,59.0,9.07,39.0,0,0,2023
88,Jofra Archer,MI,89,5,5,20.0,190,2,35/1,95.0,9.5,60.0,0,0,2023
89,Kuldip Yadav,RR,90,2,2,7.0,68,2,18/1,34.0,9.71,21.0,0,0,2023
90,Abhishek Sharma,SRH,91,11,5,12.0,124,2,26/1,62.0,10.33,36.0,0,0,2023
91,Yash Dayal,GT,92,5,5,14.0,165,2,31/1,82.5,11.78,42.0,0,0,2023
92,Tim Southee,KKR,93,2,2,6.0,79,2,54/2,39.5,13.16,18.0,0,0,2023
93,Liam Livingstone,PBKS,94,9,5,7.0,94,2,19/1,47.0,13.42,21.0,0,0,2023
94,Kulwant Khejroliya,KKR,95,2,2,4.2,64,2,44/2,32.0,14.76,13.0,0,0,2023
95,Praveen Dubey,DC,96,1,1,3.0,19,1,19/1,19.0,6.33,18.0,0,0,2023
96,Glenn Phillips,SRH,97,5,2,3.0,20,1,10/1,20.0,6.66,18.0,0,0,2023
97,Tristan Stubbs,MI,98,2,1,2.0,14,1,14/1,14.0,7.0,12.0,0,0,2023
98,Reece Topley,RCB,99,1,1,2.0,14,1,14/1,14.0,7.0,12.0,0,0,2023
99,Mayank Dagar,SRH,100,3,3,11.0,83,1,37/1,83.0,7.54,66.0,0,0,2023
100,Sisanda Magala,CSK,101,2,2,6.0,51,1,37/1,51.0,8.5,36.0,0,0,2023
101,Rishi Dhawan,PBKS,102,6,4,7.0,60,1,20/1,60.0,8.57,42.0,0,0,2023
102,Aiden Markram,SRH,103,13,6,8.1,70,1,24/1,70.0,8.57,49.0,0,0,2023
103,Rovman Powell,DC,104,3,1,2.0,18,1,18/1,18.0,9.0,12.0,0,0,2023
104,Umesh Yadav,KKR,105,8,8,19.0,189,1,27/1,189.0,9.94,114.0,0,0,2023
105,Akeal Hosein,SRH,106,1,1,4.0,40,1,40/1,40.0,10.0,24.0,0,0,2023
106,Darshan Nalkande,GT,107,1,1,4.0,44,1,44/1,44.0,11.0,24.0,0,0,2023
107,Mustafizur Rahman,DC,108,2,2,7.0,79,1,38/1,79.0,11.28,42.0,0,0,2023
108,Akash Deep,RCB,109,2,2,5.0,59,1,29/1,59.0,11.8,30.0,0,0,2023
109,Lockie Ferguson,KKR,110,3,3,7.4,96,1,19/1,96.0,12.52,46.0,0,0,2023
110,Duan Jansen,MI,111,1,1,4.0,53,1,53/1,53.0,13.25,24.0,0,0,2023
111,Shahbaz Ahmed,RCB,112,10,5,7.0,95,1,38/1,95.0,13.57,42.0,0,0,2023
112,Kartik Tyagi,SRH,113,3,3,6.1,92,1,30/1,92.0,14.91,37.0,0,0,2023
